obs consrat ewr vwr
1962M05 1.0041276771 0.9012606043 0.9147651994
1962M06 0.9955651639 0.9149795918 0.9172324702
1962M07 1.0025872855 1.0644302619 1.0667586909
1962M08 1.0021446322 1.0266168875 1.0209405484
1962M09 1.0063653325 0.9330610146 0.9439591961
1962M10 0.9973417629 0.9794241589 1.0054694730
1962M11 1.0040577900 1.1365801135 1.1105445005
1962M12 1.0006071224 0.9912703133 1.0136106706
1963M01 0.9996014850 1.0756776137 1.0488461574
1963M02 0.9972897556 0.9848081980 0.9770594382
1963M03 1.0051972338 1.0211417461 1.0344952998
1963M04 1.0006852654 1.0390022391 1.0483977807
1963M05 0.9993652305 1.0312781625 1.0189938489
1963M06 1.0061578923 0.9818789824 0.9796582883
1963M07 1.0034868595 0.9883906045 0.9961752430
1963M08 1.0064737348 1.0484504720 1.0515760354
1963M09 0.9965984128 0.9826265315 0.9895094199
1963M10 0.9998673806 1.0145897846 1.0275995089
1963M11 1.0025005340 0.9907751568 0.9933320487
1963M12 1.0073785924 1.0055057224 1.0206042931
1964M01 1.0020787437 1.0187467619 1.0241322601
1964M02 1.0063850036 1.0251425709 1.0162247099
1964M03 1.0052905096 1.0310792870 1.0169575553
1964M04 1.0000047253 0.9964158707 1.0042320225
1964M05 1.0095291220 1.0107905711 1.0154118803
1964M06 1.0029049859 1.0140997700 1.0148367880
1964M07 1.0043407562 1.0262432567 1.0181546842
1964M08 1.0042762747 0.9900802950 0.9877284037
1964M09 0.9993592386 1.0354090393 1.0288784397
1964M10 1.0031027015 1.0155884495 1.0081208653
1964M11 0.9960463285 1.0003885750 1.0021239636
1964M12 1.0116366301 0.9899992396 1.0007020850
1965M01 0.9991101027 1.0581724935 1.0367295309
1965M02 1.0052333184 1.0267614927 1.0058780896
1965M03 0.9955825166 1.0045235926 0.9886015833
1965M04 1.0095805047 1.0327401018 1.0309266504
1965M05 1.0043104564 0.9896584412 0.9932304952
1965M06 0.9973823047 0.9223800768 0.9463551882
1965M07 1.0080890250 1.0265123903 1.0146281785
1965M08 1.0009704924 1.0444564659 1.0295667298
1965M09 1.0062628514 1.0312068996 1.0313018158
1965M10 1.0158846615 1.0440897798 1.0256208226
1965M11 1.0005246252 1.0283977177 1.0001082533
1965M12 1.0031724533 1.0290043402 1.0090819793
1966M01 1.0019717226 1.0394340125 1.0072705912
1966M02 1.0022327770 1.0068169100 0.9855828829
1966M03 1.0031331612 0.9754313302 0.9759249377
1966M04 1.0052063911 1.0298800068 1.0198677080
1966M05 0.9981603897 0.9272306605 0.9484912976
1966M06 1.0038838942 0.9915034212 0.9855008750
1966M07 1.0049308009 0.9853769672 0.9854158674
1966M08 0.9953586916 0.9034729994 0.9220664764
1966M09 1.0029610833 0.9829482249 0.9898445653
1966M10 0.9985251465 1.0106885859 1.0434677884
1966M11 1.0035074894 1.0358885268 1.0144400616
1966M12 1.0018040381 1.0151055724 1.0030954907
1967M01 1.0038992669 1.1423083045 1.0823239005
1967M02 1.0015366262 1.0192024374 1.0082804253
1967M03 1.0029453364 1.0511479857 1.0422036485
1967M04 1.0026418593 1.0354529106 1.0402991502
1967M05 1.0003880922 0.9803165179 0.9568242332
1967M06 1.0036676099 1.0478117220 1.0200077953
1967M07 0.9978348981 1.0675425712 1.0455021731
1967M08 1.0052614705 0.9999466112 0.9909690874
1967M09 1.0035970578 1.0343508380 1.0298266532
1967M10 0.9939183528 0.9624239705 0.9703551668
1967M11 1.0045663589 1.0029712387 1.0037711079
1967M12 1.0076086676 1.0524254076 1.0277390629
1968M01 1.0036860913 0.9924721471 0.9571677743
1968M02 1.0010779332 0.9539526687 0.9639884622
1968M03 1.0104946102 0.9916671482 1.0026483278
1968M04 1.0004266401 1.1137182411 1.0870334068
1968M05 1.0025205065 1.0560239959 1.0199869565
1968M06 1.0098048716 1.0148755320 1.0083539937
1968M07 1.0039310861 0.9699773983 0.9751043068
1968M08 1.0012632155 1.0238121869 1.0122724375
1968M09 0.9981242393 1.0563409224 1.0395237759
1968M10 1.0015637808 1.0121312383 1.0064072656
1968M11 1.0071265727 1.0691048253 1.0536104081
1968M12 0.9964113466 0.9831864945 0.9619023101
1969M01 1.0044435234 0.9866948621 0.9886985865
1969M02 1.0061227123 0.9275528926 0.9479638652
1969M03 0.9984690201 1.0150488748 1.0272753307
1969M04 1.0018555549 1.0057151932 1.0164042643
1969M05 1.0068571614 0.9935355690 0.9990502699
1969M06 0.9956449578 0.9005606027 0.9336390271
1969M07 1.0016305782 0.9161075168 0.9330117691
1969M08 1.0057358481 1.0468262087 1.0470026666
1969M09 0.9971674535 0.9795680156 0.9735337954
1969M10 1.0078919763 1.0725778979 1.0513817541
1969M11 0.9996849142 0.9484884138 0.9642468898
1969M12 0.9992925255 0.9501563212 0.9773361936
1970M01 1.0074401970 0.9389702534 0.9188485314
1970M02 1.0019793726 1.0489262034 1.0561933304
1970M03 0.9979244221 0.9877801172 0.9941458758
1970M04 0.9981504951 0.8652347086 0.8954041415
1970M05 1.0048560632 0.9081876476 0.9347532343
1970M06 1.0017506651 0.9268865695 0.9462083332
1970M07 1.0002088372 1.0706211767 1.0704777323
1970M08 1.0023381869 1.0628187642 1.0465390442
1970M09 1.0050854771 1.0839129716 1.0377092060
1970M10 0.9974195317 0.9491398291 0.9794392753
1970M11 0.9998874948 1.0286464090 1.0484093763
1970M12 1.0068255005 1.0829140193 1.0569727102
1971M01 0.9982130964 1.0977022812 1.0478584528
1971M02 1.0024871795 1.0231632795 1.0122155612
1971M03 0.9962266966 1.0502245479 1.0404925412
1971M04 1.0046915295 1.0289488290 1.0290513404
1971M05 1.0002229922 0.9540239761 0.9595367693
1971M06 1.0028527158 0.9864980038 0.9991407969
1971M07 0.9977871754 0.9511267875 0.9565818992
1971M08 1.0023231965 1.0466928174 1.0372018551
1971M09 1.0022021597 0.9849894380 0.9917810585
1971M10 1.0012423848 0.9480593404 0.9585576776
1971M11 1.0047379877 0.9755794665 0.9974841889
1971M12 1.0069687720 1.1080109129 1.0863729699
1972M01 0.9966019864 1.0570006808 1.0207667305
1972M02 1.0034319791 1.0252072273 1.0256113091
1972M03 1.0130516331 0.9997804793 1.0071441556
1972M04 1.0018673181 1.0039056267 1.0047983076
1972M05 1.0022108643 0.9881820072 1.0144643295
1972M06 1.0023798425 0.9653393165 0.9763962528
1972M07 1.0052719997 0.9736479560 0.9943203123
1972M08 1.0030893353 1.0258291108 1.0346563521
1972M09 1.0021841242 0.9701037797 0.9888578586
1972M10 1.0105570774 0.9950576676 1.0071661741
1972M11 1.0023089946 1.0622425936 1.0463891640
1972M12 1.0023120085 0.9837043797 1.0078380409
1973M01 1.0035597529 0.9457130944 0.9706342489
1973M02 1.0032342163 0.9300311575 0.9540715364
1973M03 0.9978576846 0.9689333628 0.9869948198
1973M04 0.9983265631 0.9295640402 0.9463679338
1973M05 1.0018363394 0.9328985704 0.9769095691
1973M06 1.0035913390 0.9622319420 0.9849769120
1973M07 1.0053670105 1.0999095311 1.0471858135
1973M08 0.9897924661 0.9550523654 0.9597207889
1973M09 1.0090357272 1.0980525937 1.0470718184
1973M10 0.9968883458 0.9841822649 0.9921163023
1973M11 1.0025046957 0.8226644918 0.8760244397
1973M12 0.9939015821 0.9812288341 1.0060410571
1974M01 1.0004549288 1.0915918679 0.9899911685
1974M02 0.9960775467 0.9979425107 0.9909246170
1974M03 0.9982096707 0.9711587948 0.9646207158
1974M04 1.0036279012 0.9342308651 0.9506483894
1974M05 1.0007841716 0.9183763301 0.9561438569
1974M06 1.0007719544 0.9597239838 0.9747795375
1974M07 1.0011444188 0.9479634534 0.9214074476
1974M08 0.9996469683 0.8974389044 0.9048777000
1974M09 0.9974728664 0.9142164419 0.8819938536
1974M10 1.0022865821 1.1113213994 1.1611966059
1974M11 0.9945152759 0.9509253586 0.9528502223
1974M12 0.9997957197 0.9287175397 0.9707360861
1975M01 1.0025531084 1.2903648527 1.1270100053
1975M02 1.0050619193 1.0298918262 1.0557485924
1975M03 1.0029476140 1.0771176637 1.0266013353
1975M04 1.0011432062 1.0280971850 1.0442025992
1975M05 1.0137834117 1.0610925852 1.0479527225
1975M06 0.9991201487 1.0689394465 1.0443525063
1975M07 0.9992212138 0.9506650008 0.9281619016
1975M08 1.0016137945 0.9515962518 0.9744935093
1975M09 0.9979379430 0.9545816728 0.9595156238
1975M10 1.0025494732 1.0318963016 1.0555925273
1975M11 1.0024575202 1.0234853924 1.0237216391
1975M12 1.0058117925 0.9955724152 0.9848810944
1976M01 1.0094452270 1.1855764622 1.1205434973
1976M02 0.9962575662 1.0706509794 0.9996883261
1976M03 1.0051455118 1.0087785362 1.0278334704
1976M04 1.0047535329 0.9825233225 0.9865533772
1976M05 0.9974651265 0.9768129810 0.9863141698
1976M06 1.0065831696 1.0426492966 1.0417124887
1976M07 1.0014972829 0.9948751913 0.9874996661
1976M08 1.0024456474 0.9801551178 0.9940615293
1976M09 1.0025977114 1.0166923810 1.0203920379
1976M10 1.0028028689 0.9709892484 0.9736903153
1976M11 1.0042700383 1.0292845445 1.0003818702
1976M12 1.0062995490 1.0867381573 1.0513380249
1977M01 1.0011293288 0.9941317333 0.9553790692
1977M02 1.0000855835 0.9746830967 0.9742996082
1977M03 0.9953644111 0.9989246810 0.9841269760
1977M04 1.0018217532 1.0090564876 0.9970775843
1977M05 1.0033549129 0.9887643683 0.9820020073
1977M06 0.9983950222 1.0568719422 1.0455737275
1977M07 1.0077944182 0.9860914535 0.9790881849
1977M08 0.9975478068 0.9805842154 0.9815350615
1977M09 1.0017216103 1.0026173018 0.9966122632
1977M10 1.0080788039 0.9665024478 0.9557043215
1977M11 1.0028582571 1.0715368433 1.0352135605
1977M12 1.0007174301 0.9998422630 1.0019597052
1978M01 0.9979720926 0.9572576020 0.9363805789
1978M02 1.0099265614 1.0005285585 0.9819722706
1978M03 1.0066114833 1.0572103828 1.0247872277
1978M04 0.9996380310 1.0676442950 1.0748896609
1978M05 1.0022962831 1.0361218189 1.0107622460
1978M06 1.0038796586 0.9870813523 0.9799509908
1978M07 0.9965761621 1.0535066791 1.0505266196
1978M08 1.0053496238 1.0623280845 1.0321974537
1978M09 1.0045058186 0.9858908123 0.9869897097
1978M10 0.9965113316 0.8268644346 0.8914546702
1978M11 1.0019728851 1.0391018967 1.0254658246
1978M12 1.0049100972 1.0057594899 1.0106041495
1979M01 0.9998370920 1.0777870121 1.0383974868
1979M02 1.0037421695 0.9645460067 0.9647635923
1979M03 1.0001523538 1.0779147519 1.0533483582
1979M04 0.9964287947 1.0104540161 0.9999057454
1979M05 1.0003619349 0.9821149848 0.9750244236
1979M06 1.0056265324 1.0446237355 1.0352373599
1979M07 0.9934202743 1.0190683655 1.0063683573
1979M08 1.0076791142 1.0691717808 1.0537861599
1979M09 0.9994336517 0.9808800558 0.9896035830
1979M10 1.0025092576 0.8928305162 0.9237796900
1979M11 1.0029141807 1.0671748029 1.0524671476
1979M12 0.9965309903 1.0341201570 1.0136538438
1980M01 1.0033192094 1.0522401212 1.0500923251
1980M02 0.9958942491 0.9588976014 0.9863729534
1980M03 0.9976528258 0.8531484123 0.8822112352
1980M04 0.9927799059 1.0568968762 1.0421730587
1980M05 0.9971040158 1.0690745022 1.0497657566
1980M06 1.0012039549 1.0339012342 1.0277405251
1980M07 1.0016412906 1.0874543042 1.0597414307
1980M08 1.0028181536 1.0324052640 1.0113851244
1980M09 0.9994172922 1.0183029349 1.0210136098
1980M10 1.0059999075 1.0101652928 1.0117966323
1980M11 0.9960642467 1.0488227216 1.0994331036
1980M12 1.0085845270 0.9732554216 0.9606860946
1981M01 0.9965339931 0.9850153292 0.9454222861
1981M02 0.9935941762 1.0086773180 1.0075088723
1981M03 1.0013688679 1.0723311551 1.0348711912
1981M04 1.0015782468 1.0080531866 0.9797190665
1981M05 1.0021830546 1.0160523263 1.0042834381
1981M06 1.0069143021 0.9916621759 0.9879518597
1981M07 0.9948110147 0.9745480469 0.9936696427
1981M08 0.9977811308 0.9281748466 0.9371699836
1981M09 0.9983032898 0.9286261432 0.9372703567
1981M10 1.0005205983 1.0663427899 1.0528037657
1981M11 0.9969845698 1.0356170371 1.0402293972
1981M12 1.0059862420 0.9763000369 0.9686617248
1982M01 0.9949377463 0.9717047380 0.9723589983
1982M02 1.0046878591 0.9584534328 0.9472123799
1982M03 0.9987847838 0.9972801545 0.9901641277
1982M04 1.0024676721 1.0478278154 1.0413704401
1982M05 0.9961866890 0.9603660803 0.9645106206
1982M06 0.9997841014 0.9720204674 0.9730837885
1982M07 1.0042015560 0.9786120172 0.9717505971
1982M08 0.9997274425 1.1105231627 1.1219237710
1982M09 1.0021345357 1.0216465608 1.0089540305
1982M10 1.0074750880 1.1279046852 1.1087103259
1982M11 1.0002606356 1.0696233711 1.0437058781
1982M12 1.0023065606 1.0130070638 1.0146826375
1983M01 1.0018989131 1.0481759512 1.0322150128
1983M02 0.9994581082 1.0461224130 1.0263812023
1983M03 1.0095369827 1.0412739763 1.0313947488
1983M04 1.0015994154 1.0601821638 1.0643806514
1983M05 1.0022279974 1.0457274844 0.9986052807
1983M06 1.0051856003 1.0343584706 1.0346105656
1983M07 1.0031618129 0.9755410930 0.9652813257
1983M08 1.0018646135 0.9875975110 1.0085650547
1983M09 1.0006770559 1.0200141556 1.0132802781
1983M10 1.0036356855 0.9617341422 0.9786776399
1983M11 1.0020427087 1.0451254159 1.0227662191
1983M12 1.0071825079 0.9878602643 0.9909798020
1984M01 1.0044105392 0.9889220386 0.9860548799
1984M02 0.9880879370 0.9459287814 0.9586787011
1984M03 1.0083544554 1.0167182123 1.0136782414
1984M04 1.0042389540 0.9905193100 1.0016504086
1984M05 1.0028974591 0.9485495210 0.9468209915
1984M06 1.0043838639 1.0229121384 1.0202171841
1984M07 0.9967708475 0.9603412313 0.9819235359
1984M08 1.0044249302 1.1143358818 1.1076132177
1984M09 1.0048474145 1.0038285276 0.9992910055
1984M10 0.9966432052 0.9919336205 1.0002196383
1984M11 1.0087734679 0.9815374967 0.9888040265
1984M12 0.9997270305 1.0162368089 1.0230476730
1985M01 1.0057370161 1.1021253625 1.0754681738
1985M02 1.0049046379 1.0165685829 1.0120121177
1985M03 0.9943341637 0.9869845890 0.9949869166
1985M04 1.0054994166 0.9855967628 0.9940487479
1985M05 1.0041581146 1.0416900133 1.0565213756
1985M06 0.9995907469 1.0103188599 1.0136655601
1985M07 1.0034369342 1.0122111674 0.9940396376
1985M08 1.0042341378 0.9941409555 0.9924807768
1985M09 1.0016963844 0.9473639135 0.9599217021
1985M10 1.0002626982 1.0310329765 1.0408517973
1985M11 1.0023574718 1.0605812614 1.0639775486
1985M12 1.0076709600 1.0381573408 1.0412882561
1986M01 0.9965680066 1.0089346590 1.0030994435
1986M02 1.0012715608 1.0703459635 1.0736207553
1986M03 1.0056870967 1.0618731630 1.0580124293
1986M04 0.9980439298 0.9948093598 0.9878960883
1986M05 1.0026605060 1.0369082170 1.0486664683
1986M06 1.0020189028 0.9963258878 1.0111436126
1986M07 1.0015346691 0.9269654358 0.9439036891
1986M08 0.9973200858 1.0597102162 1.0708077657
1986M09 1.0034371795 0.9422927606 0.9162559793
1986M10 1.0024447191 1.0425380406 1.0516439258
1986M11 1.0015752743 1.0035540214 1.0164701445
1986M12 1.0061102218 0.9785189688 0.9715560090
1987M01 0.9979338456 1.1054950902 1.1206978923
1987M02 1.0095488123 1.0544089123 1.0362468497
1987M03 0.9996836079 1.0225702565 1.0223398034
1987M04 1.0026046616 0.9709846561 0.9819196260
1987M05 1.0010528411 1.0042728123 1.0033666358
1987M06 1.0009329917 1.0345275109 1.0443062489
1987M07 1.0022216112 1.0457803192 1.0442270350
1987M08 1.0019267940 1.0182415948 1.0316815771
1987M09 0.9960032754 0.9782721969 0.9747566738
1987M10 1.0050064137 0.7405282054 0.7803701224
1987M11 0.9981479581 0.9451446212 0.9217087958
1987M12 1.0044609188 1.0591287172 1.0660438259
1988M01 1.0056876063 1.0640131326 1.0429966184
1988M02 0.9999975159 1.0711550386 1.0474870709
1988M03 1.0078687600 1.0096781792 0.9719270931
1988M04 0.9974440076 1.0028947568 1.0042856694
1988M05 1.0034913621 0.9865696647 1.0010732972
1988M06 1.0020223700 1.0560836241 1.0437549439
1988M07 1.0040915682 0.9871572023 0.9887257320
1988M08 1.0042514351 0.9710277511 0.9684421009
1988M09 0.9972108482 1.0213708378 1.0329727024
1988M10 1.0057906853 0.9985647163 1.0193538300
1988M11 1.0004684194 0.9690977144 0.9825362878
1988M12 0.9993009721 1.0222892065 1.0150096700
1989M01 1.0011833589 1.0537942653 1.0613787152
1989M02 1.0011808055 0.9949744197 0.9774577136
1989M03 0.9961725264 1.0103256911 1.0160699356
1989M04 1.0005254500 1.0294101748 1.0396778530
1989M05 1.0013387304 1.0297818678 1.0342421254
1989M06 1.0003689405 0.9953600951 0.9953361441
1989M07 1.0007090721 1.0472735489 1.0806161363
1989M08 1.0034181565 1.0195479647 1.0191413783
1989M09 1.0018423121 0.9897990733 0.9924120997
1989M10 1.0003259205 0.9369859311 0.9670460236
1989M11 0.9996669683 1.0056860288 1.0172116021
1989M12 1.0076893672 0.9988963633 1.0175838032
1990M01 0.9933163843 0.9413294575 0.9260773536
1990M02 1.0041825262 1.0059901056 1.0091332211
1990M03 1.0018259192 1.0143836668 1.0175827153
1990M04 0.9999439619 0.9527014348 0.9689682539
1990M05 0.9996341444 1.0556175974 1.0856175410
1990M06 1.0042815050 0.9923680976 0.9883199366
1990M07 1.0002484125 0.9774157460 0.9929899924
1990M08 1.0009604608 0.8883725488 0.9056690405
1990M09 0.9963788481 0.9144871684 0.9446292593
1990M10 0.9968618903 0.9495084561 0.9860817767
1990M11 0.9976503508 1.0590478517 1.0604800973
1990M12 0.9972222940 1.0126320630 1.0259674730
1991M01 0.9947293489 1.0865400422 1.0377084372
1991M02 1.0007680979 1.1191242347 1.0702214427
1991M03 1.0035722477 1.0470392136 1.0234038523
1991M04 1.0004139363 1.0023694724 1.0001393672
1991M05 1.0027718807 1.0325902096 1.0366180119
1991M06 0.9973980720 0.9560544270 0.9555834824
1991M07 1.0015571434 1.0283970811 1.0436398527
1991M08 0.9962847179 1.0212708218 1.0210844701
1991M09 0.9988086893 0.9908823834 0.9829162771
1991M10 0.9962634072 1.0083075485 1.0129352296
1991M11 1.0025335511 0.9579170458 0.9580156159
1991M12 1.0000489073 1.0593298819 1.1022877634
1992M01 1.0099250365 1.0798456265 0.9854595025
1992M02 0.9988319029 1.0288304523 1.0093277959
1992M03 1.0038810761 0.9771864934 0.9780039031
1992M04 0.9994851564 0.9898641111 1.0204069614
1992M05 1.0009972090 1.0049210775 1.0032835531
1992M06 0.9992927807 0.9696150615 0.9814148737
1992M07 1.0029398250 1.0307151535 1.0367239873
1992M08 0.9941912460 0.9801707467 0.9835094639
1992M09 1.0099276410 1.0011135307 1.0035150859
1992M10 1.0009305920 1.0079536032 1.0024702741
1992M11 1.0040902247 1.0438696050 1.0325967991
1992M12 1.0004155611 1.0259728880 1.0127050811
1993M01 0.9976744720 1.0340548161 1.0064749151
1993M02 1.0034597891 1.0058957510 1.0092008264
1993M03 0.9923326899 1.0291263180 1.0219521294
1993M04 1.0063018458 0.9816078143 0.9742571547
1993M05 0.9988837737 1.0248228675 1.0229914215
1993M06 1.0046953657 1.0035882441 1.0049118276
1993M07 1.0014895163 1.0084854922 0.9976946151
1993M08 1.0013886869 1.0345068947 1.0352156108
1993M09 1.0022861504 1.0045664903 0.9941163298
1993M10 0.9993804352 1.0180921062 1.0118966035
1993M11 1.0004247709 0.9766049211 0.9840923656
1993M12 1.0021295961 1.0350069539 1.0167060963
1994M01 0.9973362629 1.0409409831 1.0317195778
1994M02 1.0112957126 0.9816441134 0.9704938254
1994M03 1.0001595447 0.9470417346 0.9550325999
1994M04 0.9976115273 1.0060963562 1.0121613073
1994M05 1.0039794640 1.0009349103 1.0101525293
1994M06 1.0020946332 0.9733924659 0.9718439561
1994M07 0.9977270494 1.0201125331 1.0283004061
1994M08 1.0032889130 1.0353077170 1.0356245439
1994M09 0.9997842532 0.9819933180 0.9751058752
1994M10 1.0019937275 0.9884981144 1.0115385921
1994M11 0.9996431805 0.9592338297 0.9609727766
1994M12 1.0006414022 1.0025397733 1.0134212483
1995M01 1.0042479198 1.0082909028 1.0220622776
1995M02 0.9981002365 1.0271578809 1.0358834495
1995M03 1.0008729849 1.0150639141 1.0250545395
1995M04 1.0015632182 1.0220743809 1.0211337577
1995M05 1.0039182679 1.0225411202 1.0323480595
1995M06 1.0035202614 1.0221225732 1.0201649621
1995M07 0.9967235991 1.0335979763 1.0326214342
1995M08 1.0025936018 1.0092136039 1.0040886369
1995M09 0.9996534630 1.0155675109 1.0394206375
1995M10 0.9971645920 0.9636229420 0.9859403247
1995M11 1.0054280423 1.0323471362 1.0466987673
1995M12 1.0027692117 1.0206381989 1.0181677977
1996M01 1.0000223335 1.0284972544 1.0305988196
1996M02 1.0024862498 1.0130498782 1.0101517562
1996M03 1.0031020822 1.0182474647 1.0092489769
1996M04 1.0039096975 1.0256769508 1.0095878107
1996M05 1.0009060691 1.0216280580 1.0203546083
1996M06 0.9983668626 0.9898079809 1.0011089268
1996M07 1.0043246169 0.9496368446 0.9523620486
1996M08 0.9989165057 1.0383654921 1.0266758154
1996M09 1.0011890815 1.0257296876 1.0465065218
1996M10 1.0012117212 1.0018730937 1.0164655830
1996M11 1.0008310597 1.0389002292 1.0644978138
1996M12 1.0027918103 1.0072558052 0.9833653803
1997M01 1.0031917249 1.0326346454 1.0472880877
1997M02 1.0010922319 1.0025583330 1.0086615266
1997M03 0.9999217874 0.9681337858 0.9576300818
1997M04 1.0006541296 1.0067081838 1.0437034324
1997M05 1.0009437611 1.0735776353 1.0631197908
1997M06 1.0036865434 1.0468186040 1.0453483406
1997M07 1.0066915320 1.0517326032 1.0689126526
1997M08 0.9990150264 0.9975526307 0.9539027839
1997M09 1.0017583341 1.0545915920 1.0553850591
1997M10 1.0013492543 0.9601072054 0.9686564596
1997M11 1.0016962093 0.9998483186 1.0364957085
1997M12 1.0018907776 1.0148511620 1.0243497055
