wage,nearc4,educ,age,black,smsa,south,exper
700,1,15,25,0,1,0,4
714,1,18,33,0,1,0,9
701,1,9,30,0,1,0,15
462,1,12,24,1,1,0,6
868,1,18,28,0,1,0,4
917,1,16,29,0,0,0,7
1065,1,12,27,0,1,0,9
400,1,12,29,0,1,1,11
640,1,12,27,0,1,0,9
285,1,13,24,0,1,0,5
641,1,17,27,0,1,1,4
389,1,13,32,0,1,0,13
1010,1,12,25,0,1,0,7
817,1,12,24,0,0,0,6
975,1,17,27,0,1,0,4
750,1,12,29,1,1,0,11
463,1,15,24,0,0,0,3
1387,1,12,28,0,1,0,10
577,1,12,25,0,1,0,7
401,1,12,27,0,1,0,9
320,1,10,26,0,1,0,10
514,1,12,27,0,1,0,9
208,1,11,25,0,1,0,8
1192,1,17,27,0,1,0,4
625,1,14,26,0,1,0,6
481,1,17,34,0,1,0,11
714,1,13,27,0,1,0,8
625,1,11,27,0,1,0,10
553,1,12,30,0,1,0,12
579,1,12,34,0,1,0,16
841,1,18,28,0,1,0,4
1923,1,18,33,0,1,0,9
806,1,16,26,0,1,0,4
344,1,12,29,1,1,0,11
962,1,12,32,0,1,0,14
600,1,12,32,0,0,0,14
837,1,18,34,0,1,0,10
625,1,16,24,0,1,0,2
563,1,16,28,0,1,0,6
1410,1,16,28,0,1,0,6
480,1,12,25,0,1,0,7
600,1,12,24,0,1,0,6
300,1,9,28,0,1,0,13
505,1,9,25,0,1,0,10
417,1,14,25,1,1,0,5
300,1,12,24,1,1,0,6
865,1,18,27,0,1,0,3
300,1,16,25,0,1,0,3
721,1,12,32,0,1,0,14
856,1,12,34,0,1,0,16
738,1,10,30,0,1,0,14
1058,1,17,31,1,1,0,8
529,1,12,32,1,1,0,14
572,1,11,34,0,1,0,17
805,1,12,32,0,0,0,14
400,1,10,30,0,1,0,14
962,1,18,29,0,1,0,5
817,1,18,27,0,1,0,3
740,1,13,28,0,1,0,9
721,1,18,30,0,1,0,6
913,1,18,24,0,1,0,0
379,1,17,27,0,1,0,4
350,1,14,26,0,1,0,6
694,1,11,33,0,1,0,16
1014,1,12,32,0,1,1,14
1136,1,18,34,0,1,0,10
1709,1,18,30,0,1,0,6
529,1,12,26,0,1,0,8
673,1,17,32,1,1,0,9
1010,1,17,28,0,1,0,5
846,1,18,28,0,1,0,4
710,1,11,27,0,1,0,10
820,1,16,26,0,0,0,4
447,1,12,24,0,1,0,6
500,1,15,25,0,1,0,4
1049,1,16,31,0,1,0,9
1202,1,18,29,0,1,0,5
690,1,12,33,0,1,0,15
648,1,16,28,0,1,0,6
875,1,13,30,0,1,0,11
548,1,17,25,0,1,0,2
600,1,7,28,0,1,0,15
2244,1,15,34,0,1,0,13
1442,1,12,31,0,1,0,13
320,1,12,34,1,1,0,16
1262,1,18,33,0,1,0,9
600,1,12,24,0,1,0,6
300,1,11,26,1,1,0,9
538,1,16,24,0,1,0,2
744,1,12,33,0,0,0,15
846,1,12,33,0,1,0,15
813,1,16,29,0,1,0,7
1000,1,12,28,0,1,0,10
561,1,16,26,0,1,0,4
285,1,18,26,0,1,0,2
437,1,16,27,0,1,0,5
325,1,13,25,0,1,0,6
580,1,16,28,0,1,0,6
588,1,16,26,1,1,0,4
801,1,18,29,0,1,0,5
312,1,14,25,0,1,0,5
250,1,12,29,1,1,0,11
500,1,15,27,1,1,0,6
750,1,12,33,1,1,0,15
343,1,13,31,0,1,1,12
250,1,15,28,0,1,0,7
700,1,16,24,0,1,0,2
400,1,12,25,0,1,0,7
555,1,17,27,0,1,0,4
699,1,15,28,0,1,0,7
1923,1,14,24,0,1,0,4
1216,1,18,32,0,1,0,8
615,1,16,29,0,1,0,7
745,1,14,25,0,1,0,5
458,1,16,24,0,1,0,2
647,1,18,25,0,1,0,1
745,1,12,25,0,1,0,7
815,1,16,25,0,1,1,3
865,1,16,31,0,1,0,9
542,1,12,28,0,1,0,10
365,1,13,27,0,1,0,8
417,1,10,24,0,1,0,8
657,1,16,27,0,1,0,5
529,1,15,26,0,1,0,5
851,1,17,29,0,1,0,6
663,1,12,25,0,1,0,7
529,1,16,24,0,1,0,2
889,1,18,28,0,1,0,4
865,1,17,28,0,1,1,5
231,1,18,26,0,1,1,2
802,1,12,32,0,0,1,14
533,1,13,27,0,1,0,8
775,1,15,25,1,1,0,4
476,1,14,24,1,1,0,4
865,1,16,33,0,1,0,11
1014,1,16,28,0,0,0,6
641,1,18,32,0,1,0,8
333,1,16,24,0,1,0,2
556,1,11,34,1,1,0,17
528,1,18,26,0,1,0,2
635,1,12,26,0,1,0,8
500,1,11,27,1,1,1,10
1154,1,16,34,1,1,0,12
855,1,18,26,0,1,0,2
479,1,12,28,0,0,0,10
817,1,18,25,0,1,1,1
692,1,18,29,0,1,0,5
989,1,16,33,0,0,0,11
447,1,16,31,0,1,1,9
1002,1,18,34,0,1,0,10
1241,1,18,34,0,1,0,10
921,1,14,32,0,0,0,12
571,1,12,28,0,1,0,10
525,1,12,31,0,1,0,13
1154,1,12,28,0,1,0,10
480,1,12,24,1,1,0,6
839,1,11,24,0,1,0,7
1402,1,14,33,0,1,0,13
400,1,13,27,1,1,0,8
710,1,12,33,0,1,0,15
635,1,14,24,0,1,0,4
388,1,13,26,0,1,0,7
688,1,12,26,0,1,0,8
630,1,12,34,0,1,0,16
1044,1,15,34,0,1,0,13
577,1,12,24,0,1,0,6
500,1,12,25,0,1,0,7
781,1,12,34,0,0,0,16
577,1,13,26,0,1,0,7
525,1,13,25,0,1,0,6
385,1,17,28,0,1,0,5
625,1,12,29,0,1,0,11
625,1,16,28,0,1,0,6
475,1,13,26,0,1,0,7
659,1,14,25,0,1,0,5
425,1,16,24,0,1,0,2
524,1,14,25,0,1,0,5
625,0,12,26,0,1,0,8
1010,0,16,31,0,1,0,9
601,0,12,26,0,1,0,8
808,0,12,27,0,1,0,9
426,0,12,28,0,1,0,10
1060,0,12,30,0,1,0,12
414,0,12,26,0,1,0,8
492,0,12,30,0,1,0,12
325,0,12,27,0,1,0,9
275,0,12,28,0,1,0,10
291,0,12,25,0,1,0,7
731,0,18,31,0,1,1,7
488,0,14,26,0,1,1,6
337,0,14,24,0,1,0,4
725,0,12,27,0,1,0,9
440,0,13,25,0,0,0,6
641,0,16,27,0,0,0,5
375,0,12,28,0,1,0,10
481,0,12,25,0,1,0,7
925,0,14,29,0,1,0,9
514,0,12,26,0,1,0,8
1065,0,12,33,0,1,0,15
638,0,12,28,0,1,0,10
739,0,12,32,0,1,0,14
493,0,12,26,0,1,0,8
650,0,10,24,0,1,1,8
308,0,7,31,0,1,0,18
629,0,16,30,0,1,0,8
409,0,13,28,0,0,0,9
600,0,18,33,0,1,0,9
745,0,12,28,0,0,0,10
625,0,17,31,0,1,0,8
549,0,12,29,0,0,0,11
326,0,15,24,0,0,0,3
258,0,9,26,0,0,0,11
875,1,12,26,0,1,0,8
639,1,12,25,0,0,0,7
667,1,11,33,0,0,0,16
504,1,14,29,0,1,1,9
313,1,17,25,0,1,1,2
1010,1,18,27,0,1,1,3
1000,1,10,33,0,0,0,17
721,1,16,28,0,0,0,6
785,1,12,27,0,0,0,9
546,1,12,34,0,0,0,16
828,1,12,25,0,0,0,7
159,1,12,25,0,0,0,7
700,1,10,27,0,0,0,11
721,1,13,28,0,0,0,9
304,1,12,24,0,0,0,6
553,1,16,25,0,1,0,3
542,1,14,26,0,1,1,6
509,1,16,24,0,0,0,2
385,1,16,24,0,0,0,2
1442,0,12,32,0,1,0,14
879,0,16,32,0,1,0,10
1000,0,13,24,0,1,0,5
863,0,12,28,0,0,0,10
740,0,12,27,0,0,0,9
889,0,12,34,0,0,0,16
458,0,15,29,0,1,0,8
450,1,12,34,0,1,0,16
700,1,12,34,0,1,0,16
744,1,14,33,0,1,0,13
889,1,16,32,0,1,0,10
692,1,18,32,0,1,0,8
604,1,18,33,0,0,0,9
625,1,18,30,0,1,0,6
746,1,14,33,0,1,0,13
726,1,18,33,0,1,0,9
560,1,12,30,0,1,0,12
424,1,12,26,0,0,0,8
400,1,12,26,0,0,0,8
250,1,14,26,0,1,0,6
646,1,13,26,0,1,0,7
598,1,12,24,0,1,0,6
1000,1,12,27,0,1,0,9
528,1,12,28,0,0,0,10
481,1,12,26,0,0,0,8
850,1,12,33,0,0,0,15
506,1,14,30,0,0,0,10
512,1,12,29,0,1,0,11
220,1,11,26,0,1,0,9
154,1,16,24,0,1,0,2
240,1,12,31,0,1,0,13
557,1,12,28,0,1,0,10
500,1,15,27,0,1,0,6
372,1,16,26,0,1,0,4
350,1,10,25,0,0,0,9
584,1,12,26,0,0,0,8
515,1,13,26,0,0,0,7
390,0,12,29,0,0,0,11
280,0,16,25,0,0,0,3
690,0,12,33,0,0,0,15
300,0,12,26,0,0,0,8
635,0,17,27,0,0,0,4
342,0,13,26,0,0,0,7
505,0,16,26,0,0,0,4
356,0,13,24,0,0,0,5
262,0,12,33,0,0,0,15
400,0,10,32,0,0,0,16
740,0,13,29,0,0,0,10
342,0,12,34,0,0,0,16
276,0,15,29,0,0,0,8
427,0,9,24,0,0,0,9
239,0,12,25,0,0,0,7
385,0,13,24,0,0,0,5
350,0,12,29,0,0,0,11
599,0,12,29,0,0,0,11
750,0,15,31,0,1,0,10
692,0,16,33,0,0,0,11
147,0,12,34,0,0,0,16
280,1,12,26,0,1,0,8
769,1,18,32,0,1,0,8
1010,1,13,32,0,1,0,13
517,1,14,26,0,0,0,6
400,1,16,26,0,0,0,4
375,1,12,25,0,0,0,7
596,1,12,31,0,0,0,13
350,1,7,31,0,0,0,18
417,1,11,33,0,0,0,16
338,1,16,29,0,0,0,7
481,1,18,26,0,0,0,2
500,1,12,28,0,0,0,10
305,1,12,27,0,0,0,9
450,1,10,34,0,0,0,18
769,1,16,29,0,1,0,7
721,1,16,26,0,1,0,4
1000,1,13,29,0,1,0,10
625,1,14,30,0,1,0,10
817,1,16,26,0,1,0,4
377,1,12,34,0,1,0,16
708,1,12,33,0,1,0,15
411,1,14,24,0,1,0,4
1339,1,13,32,0,1,0,13
716,1,12,34,0,0,0,16
192,1,10,32,1,1,0,16
797,1,16,32,1,1,0,10
924,1,16,34,1,1,0,12
240,1,15,26,1,1,0,5
625,1,13,25,0,1,0,6
1025,1,8,24,0,1,0,10
503,1,12,28,1,0,1,10
462,1,16,28,0,1,0,6
476,1,16,25,0,0,0,3
500,1,15,26,0,1,1,5
1000,1,12,34,0,0,0,16
663,1,13,34,0,0,0,15
707,1,15,34,0,1,0,13
928,1,16,31,0,1,1,9
300,1,12,24,0,0,0,6
365,1,15,27,0,1,0,6
645,1,12,30,0,1,0,12
462,1,18,25,0,0,0,1
1026,1,18,33,0,1,0,9
525,1,12,24,0,1,0,6
375,1,18,29,0,1,0,5
1538,1,18,34,0,1,0,10
923,1,18,33,0,1,0,9
568,1,13,26,0,1,0,7
600,1,14,25,0,1,0,5
721,1,15,27,0,1,0,6
1116,1,17,24,0,1,0,1
712,1,14,27,0,1,0,7
808,1,16,29,0,1,0,7
925,1,11,27,0,1,0,10
550,1,9,25,0,1,0,10
271,1,12,26,0,1,0,8
833,1,7,32,0,1,0,19
1200,1,12,30,0,1,0,12
581,1,14,33,0,1,0,13
686,1,17,34,1,1,0,11
1000,1,18,32,1,1,0,8
537,1,13,24,1,1,0,5
690,1,12,28,1,1,0,10
500,1,12,28,0,1,0,10
750,1,13,33,0,1,0,14
913,1,17,29,0,1,1,6
600,1,15,24,0,1,0,3
577,1,16,24,0,1,0,2
601,1,12,26,0,1,0,8
577,1,12,31,0,1,0,13
677,1,12,32,0,1,0,14
473,1,18,27,1,1,0,3
350,1,14,24,0,1,0,4
620,1,15,32,0,1,0,11
378,1,16,24,0,1,0,2
243,1,16,25,0,1,0,3
750,1,12,26,0,1,0,8
441,1,18,30,0,0,0,6
688,1,14,29,0,1,0,9
501,1,18,25,0,0,0,1
400,1,12,29,0,1,0,11
981,1,12,26,0,1,0,8
649,1,14,30,0,1,1,10
625,1,12,32,0,1,0,14
707,1,16,28,1,1,0,6
1043,1,12,29,0,1,0,11
761,1,12,27,0,1,0,9
524,1,13,25,0,0,0,6
575,1,13,27,1,1,0,8
865,1,14,26,1,1,0,6
713,1,12,28,1,1,0,10
673,1,16,27,0,1,0,5
662,1,12,25,0,1,0,7
543,1,14,29,0,1,0,9
525,1,13,25,0,1,0,6
640,1,12,28,0,1,0,10
297,1,12,26,0,1,0,8
947,1,8,33,1,1,0,19
500,1,12,34,1,1,0,16
620,1,13,25,1,1,0,6
277,1,12,25,1,1,0,7
240,1,10,26,0,0,1,10
240,1,10,25,0,0,1,9
462,1,12,33,0,1,0,15
404,1,12,27,1,1,0,9
450,1,12,25,1,1,0,7
250,1,12,24,1,1,0,6
727,1,11,26,1,1,0,9
667,1,12,24,1,1,0,6
962,1,12,28,1,1,0,10
750,1,14,27,0,1,0,7
667,1,14,25,0,1,0,5
692,1,17,34,0,0,0,11
465,1,12,25,1,1,0,7
641,1,12,30,1,1,0,12
710,1,11,29,1,1,0,12
425,1,13,25,1,1,0,6
833,1,12,27,0,1,0,9
308,1,12,26,0,1,0,8
625,1,16,29,0,1,0,7
1442,1,16,32,0,1,0,10
673,1,16,25,0,1,0,3
1346,1,17,28,0,1,0,5
400,1,17,33,0,1,0,10
518,1,9,34,0,0,0,19
456,1,14,26,0,1,0,6
409,1,17,33,0,1,1,10
559,1,18,34,0,1,0,10
230,1,12,24,1,1,0,6
1026,1,17,27,0,1,0,4
1082,1,12,27,0,1,0,9
1202,1,14,24,0,1,0,4
329,1,17,25,0,0,0,2
481,1,18,27,0,1,0,3
673,1,18,24,0,1,1,0
1683,1,17,31,0,1,0,8
1282,1,16,34,0,1,0,12
577,1,12,24,0,1,0,6
444,1,18,27,0,1,0,3
481,1,16,28,1,1,0,6
467,1,12,24,1,1,0,6
668,1,6,31,0,1,0,19
286,1,15,27,0,1,0,6
577,1,18,33,0,1,0,9
721,1,14,29,0,1,0,9
462,1,12,25,0,1,0,7
750,1,15,25,0,1,0,4
200,1,12,24,0,1,0,6
650,1,12,27,0,1,0,9
481,1,18,28,0,1,0,4
600,1,11,24,0,1,0,7
769,1,16,28,0,1,1,6
775,1,17,27,0,1,0,4
641,1,16,24,0,1,0,2
1055,1,14,33,0,1,0,13
676,1,16,31,0,1,0,9
691,1,12,28,0,1,0,10
962,1,17,30,0,1,0,7
400,1,13,28,0,1,0,9
673,1,16,27,0,1,0,5
1442,1,18,34,1,1,0,10
529,1,18,32,0,1,0,8
700,1,14,27,1,1,0,7
675,1,8,34,1,1,0,20
494,1,18,25,0,1,0,1
500,1,12,24,0,1,0,6
450,1,16,24,1,1,0,2
601,1,13,25,1,1,0,6
717,1,13,28,1,1,0,9
575,1,12,29,1,1,0,11
350,1,12,25,1,1,0,7
350,1,12,24,1,1,0,6
643,1,16,29,0,1,0,7
675,1,15,24,0,1,0,3
679,1,15,28,0,1,0,7
534,1,12,27,0,1,0,9
524,1,16,31,0,1,0,9
667,1,16,28,0,1,1,6
370,1,14,26,0,1,0,6
658,1,15,26,0,1,0,5
700,1,12,34,1,1,0,16
311,1,18,27,0,1,0,3
841,1,9,33,0,1,0,18
660,1,14,31,0,1,0,11
692,1,16,31,0,1,0,9
577,1,15,28,0,1,0,7
705,1,17,26,0,1,0,3
292,1,16,27,0,1,1,5
750,1,13,26,0,1,0,7
1442,1,16,34,0,1,0,12
1202,1,16,33,0,1,0,11
1603,1,15,33,0,1,1,12
769,1,14,32,0,1,1,12
513,1,16,31,0,1,0,9
805,1,12,31,0,1,0,13
962,1,17,34,0,1,0,11
675,1,12,25,0,1,0,7
398,1,13,24,0,1,0,5
855,1,14,33,0,1,0,13
693,1,11,25,1,1,0,8
641,1,11,24,1,1,0,7
345,1,13,27,1,1,0,8
561,1,12,27,1,1,0,9
684,1,12,24,1,1,0,6
469,1,16,29,0,1,1,7
300,1,16,26,0,1,0,4
673,1,18,25,0,1,0,1
385,1,16,24,0,1,0,2
808,1,16,33,0,1,0,11
548,1,17,24,0,1,0,1
500,1,16,26,0,1,0,4
727,1,13,29,0,1,0,10
524,1,16,28,0,1,0,6
450,1,15,24,1,1,0,3
755,1,12,28,1,1,0,10
640,1,12,24,1,1,0,6
313,1,12,24,1,1,0,6
1425,1,12,29,0,1,0,11
761,1,12,28,0,1,0,10
600,1,12,26,0,1,0,8
1111,1,16,32,0,1,0,10
763,1,16,33,0,1,0,11
650,1,12,32,0,1,0,14
1155,1,14,27,0,1,0,7
600,1,12,24,0,1,0,6
555,1,12,29,0,1,0,11
543,1,11,28,0,1,0,11
550,1,11,25,0,1,0,8
800,1,11,31,0,1,0,14
1000,1,11,26,0,1,0,9
864,1,12,31,0,1,0,13
613,1,13,32,0,1,0,13
519,1,16,24,0,1,0,2
707,1,13,30,1,1,0,11
818,1,13,26,1,1,0,7
300,1,10,25,1,1,0,9
702,1,16,30,0,1,0,8
1322,1,16,34,0,1,0,12
380,1,12,27,1,1,0,9
400,1,11,26,1,1,0,9
498,1,11,25,1,1,0,8
663,1,10,33,1,1,0,17
600,1,10,33,1,1,0,17
1034,1,18,32,0,0,1,8
1079,1,14,25,0,1,0,5
400,1,18,24,0,1,1,0
641,1,16,33,0,1,0,11
620,1,12,32,0,1,0,14
481,1,17,30,0,1,0,7
1058,1,16,33,0,1,0,11
545,1,12,26,0,1,0,8
786,1,14,26,0,1,0,6
485,1,18,25,0,1,0,1
